id,2022-09-27,2022-09-28,2022-09-29,2022-09-30,2022-10-01,2022-10-02,2022-10-03,2022-10-04,2022-10-05,2022-10-06,2022-10-07,2022-10-08,2022-10-09,2022-10-10,2022-10-11,2022-10-12
91630007,,Rupture partielle,,,,,,,,,,,,,,
92100014,,Rupture partielle,,,,,,,,,,,,,,
92100015,,Rupture partielle,,,,,,,,,,,,,,
92110011,,Rupture totale,,,,,,,,,,,,,,
92170002,,Rupture partielle,,,,,,,,,,,,,,
92210009,,Rupture partielle,,,,,,,,,,,,,,
92340002,,Rupture partielle,,,,,,,,,,,,,,
92370002,,Rupture totale,,,,,,,,,,,,,,
92400017,,Rupture partielle,,,,,,,,,,,,,,
92600009,,Rupture totale,,,,,,,,,,,,,,
93100018,,Rupture partielle,,,,,,,,,,,,,,
93160009,,Rupture totale,,,,,,,,,,,,,,
93350003,,Rupture partielle,,,,,,,,,,,,,,
93380010,,Rupture totale,,,,,,,,,,,,,,
93700004,,Rupture totale,,,,,,,,,,,,,,
94000011,,Rupture partielle,,,,,,,,,,,,,,
95300004,,Rupture totale,,,,,,,,,,,,,,
95320006,,Rupture partielle,,,,,,,,,,,,,,
95500010,,Rupture totale,,,,,,,,,,,,,,
95712003,,Rupture partielle,,,,,,,,,,,,,,
95740005,,Rupture totale,,,,,,,,,,,,,,
1000012,,,Rupture partielle,,,,,,,,,,,,,
1000013,,,Rupture partielle,,,,,,,,,,,,,
1120006,,,Rupture totale,,,,,,,,,,,,,
1130003,,,Rupture totale,,,,,,,,,,,,,
1150002,,,Rupture totale,,,,,,,,,,,,,
1160005,,,Rupture totale,,,,,,,,,,,,,
1330003,,,Rupture partielle,,,,,,,,,,,,,
1340002,,,Rupture partielle,,,,,,,,,,,,,
1440001,,,Rupture totale,,,,,,,,,,,,,
2100011,,,Rupture totale,,,,,,,,,,,,,
2120005,,,Rupture totale,,,,,,,,,,,,,
2200013,,,Rupture totale,,,,,,,,,,,,,
2200014,,,Rupture partielle,,,,,,,,,,,,,
2200015,,,Rupture partielle,,,,,,,,,,,,,
2250004,,,Rupture partielle,,,,,,,,,,,,,
2380002,,,Rupture totale,,,,,,,,,,,,,
2860001,,,Rupture partielle,,,,,,,,,,,,,
3100002,,,Rupture partielle,,,,,,,,,,,,,
3120004,,,Rupture partielle,,,,,,,,,,,,,
3300002,,,Rupture partielle,,,,,,,,,,,,,
3500003,,,Rupture partielle,,,,,,,,,,,,,
3500006,,,Rupture partielle,,,,,,,,,,,,,
3600004,,,Rupture partielle,,,,,,,,,,,,,
3700002,,,Rupture partielle,,,,,,,,,,,,,
3800005,,,Rupture totale,,,,,,,,,,,,,
4200008,,,Rupture partielle,,,,,,,,,,,,,
6130010,,,Rupture totale,,,,,,,,,,,,,
6230003,,,Rupture partielle,,,,,,,,,,,,,
6300017,,,Rupture partielle,,,,,,,,,,,,,
6500008,,,Rupture partielle,,,,,,,,,,,,,
6510001,,,Rupture partielle,,,,,,,,,,,,,
6600012,,,Rupture partielle,,,,,,,,,,,,,
6600023,,,Rupture partielle,,,,,,,,,,,,,
6660002,,,Rupture partielle,,,,,,,,,,,,,
6770002,,,Rupture totale,,,,,,,,,,,,,
7100006,,,Rupture partielle,,,,,,,,,,,,,
7130004,,,Rupture partielle,,,,,,,,,,,,,
7200008,,,Rupture partielle,,,,,,,,,,,,,
7300006,,,Rupture partielle,,,,,,,,,,,,,
7380001,,,Rupture partielle,,,,,,,,,,,,,
7400003,,,Rupture partielle,,,,,,,,,,,,,
7800001,,,Rupture totale,,,,,,,,,,,,,
8170004,,,Rupture totale,,,,,,,,,,,,,
8190001,,,Rupture partielle,,,,,,,,,,,,,
8200010,,,Rupture partielle,,,,,,,,,,,,,
8300008,,,Rupture totale,,,,,,,,,,,,,
8320002,,,Rupture totale,,,,,,,,,,,,,
8320003,,,Rupture partielle,,,,,,,,,,,,,
9000003,,,Rupture partielle,,,,,,,,,,,,,
9100002,,,Rupture partielle,,,,,,,,,,,,,
9100003,,,Rupture partielle,,,,,,,,,,,,,
9140001,,,Rupture totale,,,,,,,,,,,,,
10000018,,,Rupture totale,,,,,,,,,,,,,
10500001,,,Rupture partielle,,,,,,,,,,,,,
10600009,,,Rupture partielle,,,,,,,,,,,,,
11000003,,,Rupture totale,,,,,,,,,,,,,
11100013,,,Rupture partielle,,,,,,,,,,,,,
11200008,,,Rupture partielle,,,,,,,,,,,,,
11540001,,,Rupture partielle,,,,,,,,,,,,,
12100002,,,Rupture partielle,,,,,,,,,,,,,
12330002,,,Rupture totale,,,,,,,,,,,,,
13005012,,,Rupture totale,,,,,,,,,,,,,
13008016,,,Rupture partielle,,,,,,,,,,,,,
13008017,,,Rupture partielle,,,,,,,,,,,,,
13016007,,,Rupture totale,,,,,,,,,,,,,
13100013,,,Rupture partielle,,,,,,,,,,,,,
13100016,,,Rupture partielle,,,,,,,,,,,,,
13100017,,,Rupture partielle,,,,,,,,,,,,,
13120003,,,Rupture partielle,,,,,,,,,,,,,
13122001,,,Rupture partielle,,,,,,,,,,,,,
13127010,,,Rupture totale,,,,,,,,,,,,,
13170011,,,Rupture partielle,,,,,,,,,,,,,
13190001,,,Rupture totale,,,,,,,,,,,,,
13200020,,,Rupture partielle,,,,,,,,,,,,,
13210001,,,Rupture partielle,,,,,,,,,,,,,
13260002,,,Rupture partielle,,,,,,,,,,,,,
13270013,,,Rupture partielle,,,,,,,,,,,,,
13300001,,,Rupture partielle,,,,,,,,,,,,,
13300002,,,Rupture totale,,,,,,,,,,,,,
13320012,,,Rupture totale,,,,,,,,,,,,,
13400002,,,Rupture totale,,,,,,,,,,,,,
13520001,,,Rupture partielle,,,,,,,,,,,,,
13600006,,,Rupture partielle,,,,,,,,,,,,,
13700010,,,Rupture partielle,,,,,,,,,,,,,
13700011,,,Rupture totale,,,,,,,,,,,,,
14000003,,,Rupture totale,,,,,,,,,,,,,
14000021,,,Rupture totale,,,,,,,,,,,,,
14130008,,,Rupture partielle,,,,,,,,,,,,,
14170001,,,Rupture totale,,,,,,,,,,,,,
14200009,,,Rupture partielle,,,,,,,,,,,,,
14320001,,,Rupture totale,,,,,,,,,,,,,
14380002,,,Rupture partielle,,,,,,,,,,,,,
14400003,,,Rupture partielle,,,,,,,,,,,,,
14440001,,,Rupture totale,,,,,,,,,,,,,
