dep,datetime,tx_incidence,tx_positivite
60,2021-09-03,88.56721108518641,11.7
60,2021-09-04,83.80553306985382,11.07
60,2021-09-05,85.71020427598685,11.31
60,2021-09-06,88.56721108518641,10.54
60,2021-09-07,95.23356030665207,9.89
60,2021-09-08,96.18589590971858,8.91
60,2021-09-09,98.09056711585163,7.41
60,2021-09-10,105.7092519403838,6.58
60,2021-09-11,117.13727917718204,6.71
60,2021-09-12,116.18494357411552,6.51
60,2021-09-13,116.18494357411552,5.75
60,2021-09-14,132.37464882624636,4.11
60,2021-09-15,129.5176420170468,3.69
60,2021-09-16,130.46997762011333,3.12
60,2021-09-17,122.85129279558116,2.65
60,2021-09-18,113.32793676491596,2.35
60,2021-09-19,113.32793676491596,2.36
60,2021-09-20,111.42326555878292,2.32
60,2021-09-21,90.47188229131946,2.15
60,2021-09-22,91.42421789438598,2.28
60,2021-09-23,78.09151945145469,1.81
60,2021-09-24,80.94852626065425,1.85
60,2021-09-25,74.28217703918861,1.77
60,2021-09-26,73.3298414361221,1.76
60,2021-09-27,65.71115661158993,1.31
60,2021-09-28,59.04480739012428,1.11
60,2021-09-29,58.09247178705776,1.12
60,2021-09-30,68.56816342078949,1.42
60,2021-10-01,66.66349221465644,1.48
60,2021-10-02,65.71115661158993,1.48
60,2021-10-03,66.66349221465644,1.49
60,2021-10-04,59.04480739012428,1.44
60,2021-10-05,53.330793771725155,1.32
60,2021-10-06,42.85510213799343,1.07
60,2021-10-07,36.18875291652778,0.9
60,2021-10-08,28.57006809199562,0.69
60,2021-10-09,23.808390076663017,0.58
60,2021-10-10,22.856054473596494,0.56
60,2021-10-11,18.09437645826389,0.42
60,2021-10-12,20.951383267463456,0.54
60,2021-10-13,21.903718870529975,0.57
60,2021-10-14,15.23736964906433,0.41
60,2021-10-15,20.951383267463456,0.58
60,2021-10-16,22.856054473596494,0.63
60,2021-10-17,24.760725679729536,0.68
60,2021-10-18,31.42707490119518,0.89
60,2021-10-19,39.04575972572734,1.04
60,2021-10-20,46.66444455025951,1.23
60,2021-10-21,56.187800580924716,1.59
60,2021-10-22,58.09247178705776,1.79
60,2021-10-23,61.901814199323844,1.89
60,2021-10-24,62.85414980239036,1.91
60,2021-10-25,67.61582781772296,2.76
60,2021-10-26,63.80648540545688,3.68
60,2021-10-27,59.04480739012428,3.56
60,2021-10-28,59.04480739012428,4.83
60,2021-10-29,49.52145135945907,4.77
60,2021-10-30,54.28312937479168,5.56
60,2021-10-31,52.37845816865863,5.42
60,2021-11-01,40.95043093186039,4.9
60,2021-11-02,41.90276653492691,5.51
60,2021-11-03,46.66444455025951,6.57
60,2021-11-04,40.95043093186039,6.25
60,2021-11-05,52.37845816865863,8.32
60,2021-11-06,45.71210894719299,7.75
60,2021-11-07,47.61678015332603,8.22
60,2021-11-08,60.94947859625732,7.93
60,2021-11-09,59.9971429931908,3.16
60,2021-11-10,60.94947859625732,3.12
60,2021-11-11,57.14013618399124,3.02
60,2021-11-12,58.09247178705776,1.98
60,2021-11-13,62.85414980239036,2.08
60,2021-11-14,59.9971429931908,1.98
60,2021-11-15,72.37750583305557,1.95
60,2021-11-16,79.99619065758773,2.42
60,2021-11-17,81.90086186372078,2.32
60,2021-11-18,104.75691633731726,2.27
60,2021-11-19,116.18494357411552,2.6
60,2021-11-20,126.66063520784725,2.74
60,2021-11-21,130.46997762011333,2.8
60,2021-11-22,140.94566925384507,2.8
61,2021-09-01,61.92176003496758,10.43
61,2021-09-02,65.56421650761273,10.71
61,2021-09-03,72.84912945290304,10.05
61,2021-09-04,61.92176003496758,7.56
61,2021-09-05,61.92176003496758,7.3
61,2021-09-06,76.4915859255482,7.89
61,2021-09-07,76.4915859255482,6.58
61,2021-09-08,80.13404239819334,6.51
61,2021-09-09,87.41895534348365,6.5
61,2021-09-10,76.4915859255482,5.08
61,2021-09-11,72.84912945290304,4.84
61,2021-09-12,72.84912945290304,4.88
61,2021-09-13,43.70947767174182,2.9
61,2021-09-14,29.139651781161216,1.98
61,2021-09-15,25.497195308516062,1.69
61,2021-09-16,10.927369417935456,0.76
61,2021-09-17,3.642456472645152,0.3
61,2021-09-18,10.927369417935456,0.9
61,2021-09-19,10.927369417935456,0.91
61,2021-09-20,14.569825890580608,1.23
61,2021-09-21,21.85473883587091,1.91
61,2021-09-22,18.21228236322576,1.57
61,2021-09-23,18.21228236322576,1.22
61,2021-09-24,18.21228236322576,0.96
61,2021-09-25,10.927369417935456,0.59
61,2021-09-26,10.927369417935456,0.6
61,2021-09-27,14.569825890580608,0.64
61,2021-09-28,7.284912945290304,0.32
61,2021-09-29,10.927369417935456,0.5
61,2021-09-30,10.927369417935456,0.59
61,2021-10-01,14.569825890580608,1.05
61,2021-10-02,14.569825890580608,1.04
61,2021-10-03,14.569825890580608,1.02
61,2021-10-04,7.284912945290304,0.8
61,2021-10-05,21.85473883587091,2.48
61,2021-10-06,21.85473883587091,2.49
61,2021-10-07,29.139651781161216,3.29
61,2021-10-08,36.42456472645152,2.65
61,2021-10-09,43.70947767174182,3.02
61,2021-10-10,43.70947767174182,3.04
61,2021-10-11,72.84912945290304,4.78
61,2021-10-12,76.4915859255482,4.65
61,2021-10-13,72.84912945290304,4.18
61,2021-10-14,69.20667298025789,3.22
61,2021-10-15,61.92176003496758,3.47
61,2021-10-16,69.20667298025789,3.74
61,2021-10-17,69.20667298025789,3.71
61,2021-10-18,43.70947767174182,2.29
61,2021-10-19,32.78210825380636,1.84
61,2021-10-20,32.78210825380636,1.97
61,2021-10-21,29.139651781161216,2.26
61,2021-10-22,29.139651781161216,2.51
61,2021-10-23,18.21228236322576,1.78
61,2021-10-24,18.21228236322576,1.73
61,2021-10-25,21.85473883587091,2.31
