id,circonscription,numPanneau,nom,prenom,civilite,codeNuance,libelleNuance,names_ok,sortant
3905,070-02,8,BURI,Ludovic,M.,DVD,Divers droite,Buri,non
3906,071-01,1,KOLLER,Odile,Mme,DXG,Divers extrême gauche,Koller,non
3907,071-01,2,MONIN,Patrick,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Monin,non
3908,071-01,3,JUVANON,Christophe,M.,LR,Les Républicains,Juvanon,non
3909,071-01,4,LAUNOY,Manuel,M.,DVD,Divers droite,Launoy,non
3910,071-01,5,VAUCHER,Philippe,M.,DSV,Droite souverainiste,Vaucher,non
3911,071-01,6,ROY,Armand,M.,DSV,Droite souverainiste,Roy,non
3912,071-01,7,DUTREMBLE,Aurélien,M.,RN,Rassemblement National,Dutremble,non
3913,071-01,8,BIZE,Myriam,Mme,REC,Reconquête !,Bize,non
3914,071-01,9,DIRX,Benjamin,M.,ENS,Ensemble ! (Majorité présidentielle),Dirx,oui
3915,071-02,1,CORNELOUP,Josiane,Mme,LR,Les Républicains,Corneloup,oui
3916,071-02,2,DAMIEN,Olivier,M.,RN,Rassemblement National,Damien,non
3917,071-02,3,ALBERT,Laurence,Mme,REC,Reconquête !,Albert,non
3918,071-02,4,VARÉLA,Chantal,Mme,DSV,Droite souverainiste,Varéla,non
3919,071-02,5,VINAUGER,Céline,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Vinauger,non
3920,071-02,6,SICARD,Maud,Mme,DIV,Parti Pirate,Sicard,non
3921,071-02,7,GAUTHIER,Laurence,Mme,ENS,Ensemble ! (Majorité présidentielle),Gauthier,non
