dep,datetime,hosp,rea,HospConv,SSR_USLD,autres,rad,dc,population,hosp_pour_100k,rea_pour_100k
73,2020-10-04,23,5,,,,474,81,431174,5.3,1.2
74,2020-10-04,38,1,,,,990,177,807360,4.7,0.1
75,2020-10-04,453,104,,,,7315,1898,2187526,20.7,4.8
76,2020-10-04,130,21,,,,989,202,1254378,10.4,1.7
77,2020-10-04,140,32,,,,3142,739,1403997,10.0,2.3
78,2020-10-04,206,27,,,,2808,572,1438266,14.3,1.9
79,2020-10-04,8,1,,,,76,24,374351,2.1,0.3
80,2020-10-04,67,13,,,,789,240,572443,11.7,2.3
81,2020-10-04,39,7,,,,159,25,387890,10.1,1.8
82,2020-10-04,22,7,,,,66,8,258349,8.5,2.7
83,2020-10-04,58,14,,,,1192,161,1058740,5.5,1.3
84,2020-10-04,90,13,,,,394,63,559479,16.1,2.3
85,2020-10-04,17,5,,,,309,44,675247,2.5,0.7
86,2020-10-04,3,0,,,,176,43,436876,0.7,0.0
87,2020-10-04,26,2,,,,167,39,374426,6.9,0.5
88,2020-10-04,1,0,,,,770,268,367673,0.3,0.0
89,2020-10-04,18,3,,,,444,95,338291,5.3,0.9
90,2020-10-04,8,3,,,,579,202,142622,5.6,2.1
91,2020-10-04,190,37,,,,3104,653,1296130,14.7,2.9
92,2020-10-04,337,64,,,,5570,1152,1609306,20.9,4.0
93,2020-10-04,410,52,,,,4789,1073,1623111,25.3,3.2
94,2020-10-04,359,56,,,,5130,1274,1387926,25.9,4.0
95,2020-10-04,164,30,,,,3228,777,1228618,13.3,2.4
971,2020-10-04,189,30,,,,360,79,390253,48.4,7.7
972,2020-10-04,34,15,,,,137,21,372594,9.1,4.0
973,2020-10-04,23,4,,,,1725,63,268700,8.6,1.5
974,2020-10-04,53,15,,,,407,21,853659,6.2,1.8
976,2020-10-04,10,3,,,,457,29,256518,3.9,1.2
01,2020-10-05,32,7,,,,516,113,643350,5.0,1.1
02,2020-10-05,51,4,,,,1186,290,534490,9.5,0.7
03,2020-10-05,20,2,,,,247,46,337988,5.9,0.6
04,2020-10-05,9,0,,,,161,16,163915,5.5,0.0
05,2020-10-05,20,4,,,,158,22,141284,14.2,2.8
06,2020-10-05,127,19,,,,1166,222,1083310,11.7,1.8
07,2020-10-05,10,4,,,,472,120,325712,3.1,1.2
08,2020-10-05,10,1,,,,238,65,273579,3.7,0.4
09,2020-10-05,9,4,,,,40,3,153153,5.9,2.6
10,2020-10-05,22,5,,,,683,137,310020,7.1,1.6
11,2020-10-05,6,2,,,,261,62,370260,1.6,0.5
12,2020-10-05,17,5,,,,178,26,279206,6.1,1.8
13,2020-10-05,562,133,,,,5291,684,2024162,27.8,6.6
14,2020-10-05,36,12,,,,403,88,694002,5.2,1.7
15,2020-10-05,17,1,,,,67,16,145143,11.7,0.7
16,2020-10-05,4,2,,,,71,14,352335,1.1,0.6
17,2020-10-05,34,5,,,,164,55,644303,5.3,0.8
18,2020-10-05,22,2,,,,226,95,304256,7.2,0.7
19,2020-10-05,8,0,,,,175,43,241464,3.3,0.0
21,2020-10-05,35,11,,,,1001,258,533819,6.6,2.1
22,2020-10-05,15,5,,,,257,42,598814,2.5,0.8
23,2020-10-05,5,3,,,,89,16,118638,4.2,2.5
24,2020-10-05,18,3,,,,111,14,413606,4.4,0.7
25,2020-10-05,8,5,,,,667,154,539067,1.5,0.9
26,2020-10-05,32,9,,,,577,132,511553,6.3,1.8
27,2020-10-05,60,14,,,,318,95,601843,10.0,2.3
28,2020-10-05,18,4,,,,643,148,433233,4.2,0.9
29,2020-10-05,23,5,,,,224,48,909028,2.5,0.6
2A,2020-10-05,9,3,,,,170,50,157249,5.7,1.9
