id_circo,nom,groupe_sigle,parti_ratt_financier
33003,Loïc Prud'homme,LFI,La France Insoumise
91005,Cédric Villani,NI,Europe Écologie Les Verts
ZA002,Justine Benin,MODEM,Mouvement Démocrate
04002,Christophe Castaner,LREM,La République en Marche
69009,Bernard Perrut,LR,Les Républicains
92005,Céline Calvez,LREM,La République en Marche
26002,Alice Thourot,LREM,La République en Marche
73003,Émilie Bonnivard,LR,Les Républicains
78008,Michel Vialay,LR,Les Républicains
33012,Christelle Dubos,LREM,La République en Marche
69013,Danièle Cazarian,LREM,La République en Marche
63001,Valérie Thomas,LREM,La République en Marche
29007,Liliana Tanguy,LREM,La République en Marche
44010,Sophie Errante,LREM,La République en Marche
17002,Frédérique Tuffnell,MODEM,Mouvement Démocrate
54003,Xavier Paluszkiewicz,LREM,La République en Marche
88001,Stéphane Viry,LR,Les Républicains
95007,Dominique Da Silva,LREM,La République en Marche
51005,Charles de Courson,LT,"Union des démocrates, radicaux et libéraux"
79003,Jean-Marie Fiévet,LREM,La République en Marche
62009,Marguerite Deprez-Audebert,MODEM,Mouvement Démocrate
73001,Typhanie Degois,LREM,La République en Marche
57005,Nicole Trisse,LREM,La République en Marche
94001,Frédéric Descrozaille,LREM,La République en Marche
49004,Laetitia Saint-Paul,LREM,La République en Marche
59021,Béatrice Descamps,UDI,"Union des démocrates, radicaux et libéraux"
38006,Cendra Motin,LREM,La République en Marche
ZP003,Moetai Brotherson,GDR,Tavini Huiraatira No Te Ao Ma'ohi - Front de libération de Polynésie
17003,Jean-Philippe Ardouin,LREM,La République en Marche
28002,Olivier Marleix,LR,Les Républicains
59003,Christophe Di Pompeo,LREM,La République en Marche
55002,Émilie Cariou,NI,Europe Écologie Les Verts
31009,Sandrine Mörch,LREM,La République en Marche
12001,Stéphane Mazars,LREM,La République en Marche
67007,Patrick Hetzel,LR,Les Républicains
26001,Mireille Clapot,LREM,La République en Marche
13003,Alexandra Louis,AE,Mouvement Démocrate
71003,Rémy Rebeyrotte,LREM,La République en Marche
06007,Éric Pauget,LR,Les Républicains
29006,Richard Ferrand,LREM,La République en Marche
ZZ002,Paula Forteza,NI,Europe Écologie Les Verts
91001,Francis Chouat,LREM,La République en Marche
59007,Valérie Six,UDI,"Union des démocrates, radicaux et libéraux"
54002,Pascale Cesar,MODEM,
67006,Philippe Meyer,LR,Les Républicains
92010,Florence Provendier,LREM,La République en Marche
62006,Christophe Leclercq,LREM,La République en Marche
84003,Adrien Morenas,LREM,La République en Marche
62004,Robert Therry,LR,Les Républicains
85002,Patrick Loiseau,MODEM,Mouvement Démocrate
35007,Jean-Luc Bourgeaux,LR,Les Républicains
ZS001,Stéphane Claireaux,LREM,Cap sur l'avenir
40001,Fabien Lainé,MODEM,Mouvement Démocrate
27001,Séverine Gipson,LREM,La République en Marche
59011,Florence Morlighem,LREM,La République en Marche
84004,Marie-France Lorho,NI,Debout la France
44005,Luc Geismar,MODEM,Mouvement Démocrate
87002,Pierre Venteau,LREM,La République en Marche
